t,point_0_x,point_0_y,x1,y1,x2,y2
412,886.6763,489.75507,600.35516,628.2185,576.2567,387.7858
413,886.7253,489.76413,602.761,626.52527,575.9001,387.947
414,886.5254,489.44498,597.8207,622.03986,538.5274,387.08005
415,886.4115,489.39432,596.767,617.0754,521.74164,387.7163
416,886.35834,489.51694,595.9709,616.30756,521.44745,387.06158
417,886.98413,489.32565,595.4432,614.4116,487.9864,398.09378
418,886.9395,489.30588,596.2101,613.3406,487.63797,397.8005
419,886.7337,489.50168,595.86646,609.0542,455.09232,412.70187
420,886.65045,489.45474,595.23346,606.3381,439.66315,420.32935
421,886.6064,489.4313,595.19403,605.50476,439.5758,419.82867
422,886.0812,489.46127,594.083,602.40704,413.0182,444.4371
423,886.0091,489.3918,594.1544,601.2666,412.92703,444.6194
424,886.5533,489.3288,590.77155,602.3222,392.55344,477.30273
425,886.58325,489.31787,591.7198,601.8462,392.39804,477.16077
426,886.8013,489.52734,592.50085,604.5488,371.4017,511.74933
